# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "/home/gsdeol/dev/mouse-analysis/data/reference/mm9/genes.gtf" "-o" "/home/gsdeol/dev/mouse-analysis/results/counts/featureCounts_raw.txt" "-F" "GTF" "-t" "exon" "-g" "gene_id" "-s" "2" "-T" "8" "/home/gsdeol/dev/mouse-analysis/results/align/H23-142_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-143_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-144_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-145_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-146_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-147_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-148_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-149_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-150_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-151_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-152_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-153_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/gsdeol/dev/mouse-analysis/results/align/H23-142_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-143_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-144_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-145_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-146_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-147_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-148_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-149_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-150_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-151_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-152_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-153_Aligned.sortedByCoord.out.bam
ENSMUSG00000024232	18;18;18	3507955;3511255;3511980	3508283;3511542;3516402	+;+;+	5040	146	140	188	228	142	191	140	196	175	161	206	238
ENSMUSG00000088480	18	3770739	3770802	-	64	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084719	18	3860106	3860428	+	323	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000024233	18;18;18;18;18;18;18;18;18	4165830;4165860;4168495;4169135;4169135;4181112;4181112;4181903;4181903	4165945;4165945;4168658;4169293;4169293;4181190;4181190;4182230;4182230	+;+;+;+;+;+;+;+;+	846	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073647	18;18	4198214;4198614	4198609;4198967	-;-	750	75	72	78	71	58	65	43	63	59	35	76	48
ENSMUSG00000024235	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	4331325;4331338;4331339;4333816;4333816;4333816;4333843;4334615;4334615;4334615;4334615;4336164;4339495;4339495;4340545;4343020;4343020;4347453;4348979;4348979;4352850;4352850;4352850	4332434;4332434;4332434;4334062;4334062;4334062;4334062;4335046;4334767;4334767;4334767;4336293;4339601;4339601;4340806;4343187;4343187;4349336;4349336;4349336;4353013;4352955;4352951	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4504	2388	2186	2238	1557	2525	1480	2021	1530	2492	1603	1784	1148
ENSMUSG00000090484	18;18	4373667;4379765	4376736;4379978	-;-	3284	1	0	0	0	0	0	1	0	1	0	0	0
ENSMUSG00000024234	18;18;18;18;18;18;18;18;18	4375590;4379567;4380652;4383187;4386169;4386951;4394972;4395154;4396103	4375776;4379739;4380885;4383411;4386380;4387177;4395064;4395227;4397328	+;+;+;+;+;+;+;+;+	2651	767	784	776	762	730	655	632	653	776	702	691	697
ENSMUSG00000092883	18	4614628	4614698	-	71	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033960	18;18;18;18	4634927;4649073;4672513;4680224	4635029;4649403;4676165;4682866	+;+;+;+	6730	9121	8841	11639	10839	8586	11379	8512	10049	9197	9327	11547	13015
ENSMUSG00000073646	18;18;18;18;18;18;18;18;18;18	4812484;4819307;4820959;4823056;4831157;4844872;4845159;4848448;4849484;4850818	4812615;4819359;4821071;4823155;4831260;4845072;4847913;4848567;4849671;4850957	+;+;+;+;+;+;+;+;+;+	3906	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024236	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	4920538;4920538;4920538;4920565;4920703;4921724;4957215;4971088;4971088;4971088;4971088;4977789;4993811;4994616;4994934;5002071;5037106;5037106;5037106;5037106;5037106;5037106;5037106;5037106;5040146;5040146;5040146;5040146;5040146;5040146;5040146;5040224;5040226;5046587;5046587;5046587;5046587;5046587;5046587;5046587;5046587;5046587;5046587;5046762;5046762;5046762;5046762;5046762;5046762;5046762;5046762;5046762;5046762;5048883;5048883;5048883;5048883;5048883;5048883;5048883;5048883;5048883;5054016;5054016;5054016;5054016;5054016;5055978;5055978;5055978;5055978;5055978;5055978;5057273;5057273;5057273;5057273;5057273;5058123;5058123;5058123;5058123;5058123;5058123;5058123;5058123;5058123;5058661;5058711;5058711;5058711;5058711;5058711;5058711;5058711;5059228;5059228;5059228;5059228;5059228;5059228;5059228;5060513;5060513;5060513;5060513;5060513;5062160;5062160;5062160;5062160;5062160;5062160;5062160;5063192;5063192;5063192;5063192;5063192;5063192;5063192;5064469;5064469;5064469;5064469;5064469;5064469;5064469;5064470;5073879;5073879;5073879;5073879;5073879;5073879;5073879;5073879;5082781;5082781;5082781;5082781;5082781;5082781;5082781;5082781;5086533;5086533;5086533;5086533;5086533;5086533;5086533;5086533;5086708;5086708;5086708;5086708;5086708;5086708;5086708;5086708;5088635;5088635;5088635;5088635;5088635;5088635;5088635;5088635;5090785;5090785;5090785;5090785;5090785;5090785;5090785;5090785;5092843;5092843;5092843;5092843;5092843;5092843;5092843;5092843;5094379;5094536;5094536;5094536;5094536;5094536;5094536;5094536;5094536;5095170;5095170;5095170;5095170;5095170;5095170;5095170;5095170;5095170;5095434;5095434;5095434;5095434;5095434;5095434;5095434;5095434;5095434;5097425;5097425;5097425;5097425;5097425;5097425;5097425;5097425;5098906;5098906;5098906;5098906;5098906;5098906;5098906;5098906;5099432;5099432;5099432;5099432;5099432;5099432;5099432;5099432;5103573;5103573;5103573;5103573;5103573;5103573;5103573;5103673;5105764;5105764;5105764;5105764;5105764;5105764;5105764;5105764;5106662;5106662;5106662;5106662;5106662;5106662;5106662;5106662;5108573;5108573;5108573;5108573;5108573;5108573;5108573;5108573;5114251;5114506;5114529;5114529;5114529;5114529;5114529;5114529;5114529;5114529;5115976;5115976;5115976;5115976;5115976;5115976;5115976;5115976;5115976;5115976;5116971;5116971;5116971;5116971;5116971;5116971;5116971;5116971;5116971;5116971;5118098;5118098;5118098;5118098;5118098;5118098;5118098;5118098;5118098;5118344;5118344;5118344;5118344;5118344;5118344;5118344;5118344	4920872;4920872;4920872;4920872;4920872;4921772;4957303;4971195;4971195;4971195;4971195;4977876;4993985;4995147;4995147;5003074;5037163;5037163;5037163;5037163;5037163;5037163;5037163;5037163;5040237;5040237;5040237;5040237;5040237;5040237;5040237;5040237;5040237;5046644;5046644;5046644;5046644;5046644;5046644;5046644;5046644;5046644;5046644;5046913;5046913;5046913;5046875;5046913;5046913;5046913;5046913;5046913;5046913;5049492;5049492;5049492;5049492;5049492;5049492;5049492;5049492;5049492;5054096;5054096;5054096;5054096;5054096;5056847;5056847;5056847;5056847;5056847;5056847;5057437;5057437;5057437;5057437;5057437;5058157;5058157;5058157;5058157;5058304;5058388;5058157;5058157;5058150;5058667;5058772;5058772;5058772;5058772;5058772;5058772;5058772;5059367;5059367;5059367;5059367;5059367;5059367;5059367;5060608;5060608;5060608;5060608;5060608;5062403;5062403;5062403;5062403;5062403;5062403;5062403;5063768;5063768;5063768;5063768;5063768;5063768;5063768;5064688;5064688;5064688;5064688;5064688;5064688;5064688;5064688;5074002;5074002;5074002;5074002;5074002;5074002;5074002;5074002;5082928;5082928;5082928;5082928;5082928;5082928;5082928;5082928;5086622;5086622;5086622;5086622;5086622;5086622;5086622;5086622;5086794;5086794;5086794;5086794;5086794;5086794;5086794;5086794;5088812;5088812;5088812;5088812;5088812;5088812;5088812;5088812;5090957;5090957;5090957;5090957;5090957;5090957;5090957;5090957;5092998;5092998;5092998;5092998;5092998;5092998;5092998;5092998;5094672;5094672;5094672;5094672;5094672;5094672;5094672;5094672;5094672;5095317;5095317;5095317;5095317;5095317;5095317;5095317;5095317;5095317;5095514;5095579;5095579;5095579;5095579;5095579;5095579;5095579;5095579;5097600;5097600;5097600;5097600;5097600;5097600;5097600;5097600;5099050;5099050;5099050;5099050;5099050;5099050;5099050;5099050;5099695;5099708;5099708;5099708;5099708;5099708;5099708;5099708;5103724;5103724;5103724;5103724;5103724;5103724;5103724;5103724;5105869;5105869;5105869;5105869;5105869;5105869;5105869;5105869;5106869;5106869;5106869;5106869;5106869;5106869;5106869;5106869;5108706;5108706;5108706;5108706;5108706;5108706;5108706;5108706;5114684;5114684;5114684;5114684;5114684;5114684;5114684;5114684;5114684;5114684;5116119;5116119;5116119;5116119;5116119;5116119;5116119;5116119;5116119;5116119;5117019;5117095;5117095;5117095;5117095;5117095;5117095;5117095;5117095;5117095;5118253;5118253;5118162;5118253;5118253;5118253;5118253;5118253;5118253;5119216;5119289;5118438;5118608;5119297;5119289;5119288;5119288	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10633	6062	5839	7313	7338	5386	5625	5314	5623	5806	5020	6183	6478
ENSMUSG00000085461	18;18;18	5162878;5165286;5165669	5164430;5165400;5165729	-;-;-	1729	11	15	6	3	9	7	4	11	10	12	9	10
ENSMUSG00000050945	18;18;18;18;18	5210029;5213117;5245384;5288859;5334344	5211196;5214917;5245451;5288936;5334437	-;-;-;-;-	3209	142	146	162	155	124	144	121	132	140	100	160	161
ENSMUSG00000093709	18;18;18;18;18;18;18;18;18;18	5491499;5520589;5525212;5540604;5566660;5583010;5583010;5583711;5592158;5592158	5492095;5520767;5525387;5540676;5567588;5583131;5583131;5583794;5592380;5592435	-;-;-;-;-;-;-;-;-;-	2438	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000063087	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	5491501;5520589;5525212;5525363;5540604;5540604;5565648;5565650;5574983;5583010;5583010;5583010;5583010;5583010;5583711;5583711;5583711;5592158;5592158;5592158;5592158;5592158	5492095;5520767;5525387;5525387;5540676;5540676;5567588;5567588;5575409;5583131;5583131;5583131;5583131;5583131;5583794;5583794;5583794;5592437;5592188;5592189;5592380;5592391	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3877	9	15	20	13	14	12	11	14	11	11	22	10
